Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
2016-03-31,12.5635,12.6617,12.4861,12.5843,12.5843,4801296,-1.979198,12.9627,,,1.386179,2016,3,3,1
2016-04-01,12.4473,12.5977,12.3341,12.4842,12.4842,6312232,-0.795328,12.9262,,,1.385541,2016,4,4,2
2016-04-04,12.355,12.4888,12.3025,12.4359,12.4359,6545652,-0.38623,12.8976,,,1.352368,2016,4,0,2
2016-04-05,12.7748,12.8609,12.5867,12.6722,12.6722,5964514,1.900008,12.8758,,,1.418152,2016,4,1,2
2016-04-06,12.836,12.8996,12.7087,12.772,12.772,15497938,0.787248,12.8638,,,1.426741,2016,4,2,2
2016-04-07,12.4279,12.5403,12.3546,12.4668,12.4668,19378273,-2.389841,12.8381,13.4894,,1.517266,2016,4,3,2
2016-04-08,12.5798,12.6684,12.4776,12.5661,12.5661,4631754,0.796708,12.8219,13.4586,,1.527682,2016,4,4,2
2016-04-11,12.5514,12.6276,12.4544,12.5305,12.5305,13062734,-0.283342,12.7847,13.4277,,1.340471,2016,4,0,2
2016-04-12,12.5003,12.5331,12.4084,12.441,12.441,22871593,-0.713927,12.742,13.3922,,1.340087,2016,4,1,2
2016-04-13,12.5536,12.6509,12.4976,12.5948,12.5948,31170836,1.23618,12.7166,13.3533,,1.356425,2016,4,2,2
2016-04-14,12.8823,12.9782,12.7308,12.8262,12.8262,60745493,1.837505,12.6934,13.3202,,1.385491,2016,4,3,2
2016-04-15,13.009,13.117,12.9296,13.0375,13.0375,6165591,1.647229,12.692,13.2925,,1.394317,2016,4,4,2
2016-04-18,12.8326,12.9617,12.7727,12.9015,12.9015,52734491,-1.043093,12.6805,13.2554,,1.407579,2016,4,0,2
2016-04-19,12.9099,12.9919,12.7909,12.8726,12.8726,6758880,-0.224093,12.6856,13.2145,,1.260237,2016,4,1,2
2016-04-20,13.0351,13.0876,12.916,12.9682,12.9682,6432924,0.74229,12.7066,13.178,,1.194926,2016,4,2,2
2016-04-21,13.3242,13.4356,13.0774,13.1877,13.1877,12975465,1.692801,12.735,13.1436,,1.23997,2016,4,3,2
2016-04-22,13.0554,13.1954,12.9788,13.1184,13.1184,6238198,-0.525767,12.7512,13.1103,,1.219744,2016,4,4,2
2016-04-25,13.1456,13.247,13.0078,13.1089,13.1089,10310678,-0.072023,12.7637,13.079,,1.217344,2016,4,0,2
2016-04-26,12.8975,12.9762,12.8401,12.9187,12.9187,4690175,-1.45082,12.7663,13.0431,,1.266081,2016,4,1,2
2016-04-27,12.758,12.8193,12.6571,12.7182,12.7182,9118672,-1.552476,12.7603,13.0119,,1.313976,2016,4,2,2
2016-04-28,12.8326,12.9749,12.7666,12.9085,12.9085,22403845,1.496622,12.7765,12.9918,,1.27305,2016,4,3,2
2016-04-29,13.136,13.2634,13.0757,13.2027,13.2027,11176255,2.279242,12.8124,12.9799,,1.338739,2016,4,4,2
2016-05-02,13.1734,13.2547,13.1332,13.2144,13.2144,8863748,0.088709,12.8513,12.9722,,1.330322,2016,5,0,2
2016-05-03,13.4434,13.5024,13.3802,13.4392,13.4392,14198226,1.700698,12.8897,12.9675,,1.318498,2016,5,1,2
2016-05-04,13.4988,13.6234,13.4091,13.5335,13.5335,18399362,0.701752,12.9278,12.9682,,1.316981,2016,5,2,2
2016-05-05,13.4575,13.6085,13.2715,13.4221,13.4221,3455009,-0.822822,12.9755,12.9721,,1.189043,2016,5,3,2
2016-05-06,13.5723,13.6195,13.4698,13.5168,13.5168,12952093,0.705358,13.0231,12.9717,,1.187518,2016,5,4,2
2016-05-09,13.8821,14.0114,13.72,13.8489,13.8489,10077845,2.456992,13.089,12.9786,,1.26358,2016,5,0,2
2016-05-10,13.9449,13.9764,13.8239,13.8552,13.8552,8921163,0.045235,13.1597,12.985,,1.236011,2016,5,1,2
2016-05-11,14.2176,14.2612,14.1505,14.194,14.194,22325350,2.445583,13.2397,13.0036,,1.299459,2016,5,2,2
2016-05-12,13.5768,13.7122,13.5081,13.6432,13.6432,7062782,-3.880519,13.2805,13.0131,,1.607176,2016,5,3,2
2016-05-13,13.9049,13.9501,13.7845,13.8295,13.8295,5531073,1.365281,13.3201,13.0254,,1.596135,2016,5,4,2
2016-05-16,13.8286,13.909,13.7818,13.8621,13.8621,2622710,0.236059,13.3681,13.0424,,1.564484,2016,5,0,2
2016-05-17,13.8643,13.9379,13.7406,13.814,13.814,6155480,-0.347388,13.4152,13.0566,,1.567195,2016,5,1,2
2016-05-18,13.9352,13.9827,13.8008,13.848,13.848,18648085,0.246683,13.4592,13.0733,,1.564835,2016,5,2,2
2016-05-19,13.4742,13.5189,13.405,13.4497,13.4497,11850228,-2.876907,13.4723,13.0827,,1.685917,2016,5,3,2
2016-05-20,13.3475,13.4823,13.2934,13.4278,13.4278,3696275,-0.162114,13.4878,13.0934,,1.68063,2016,5,4,2
2016-05-23,13.4733,13.647,13.3497,13.523,13.523,6818672,0.708418,13.5085,13.0984,,1.684743,2016,5,0,2
2016-05-24,13.9174,13.993,13.7689,13.8441,13.8441,4796432,2.374914,13.5547,13.1094,,1.708152,2016,5,1,2
2016-05-25,13.7422,13.8167,13.6771,13.7515,13.7515,4621242,-0.668802,13.6064,13.1224,,1.667,2016,5,2,2
2016-05-26,13.6061,13.697,13.5109,13.6017,13.6017,12327138,-1.089342,13.6411,13.1286,,1.678097,2016,5,3,2
2016-05-27,13.5605,13.6007,13.4792,13.5194,13.5194,4437272,-0.605247,13.6569,13.1377,,1.619747,2016,5,4,2
2016-05-30,13.7652,13.7926,13.6997,13.727,13.727,20312927,1.535392,13.6825,13.1496,,1.649777,2016,5,0,2
2016-05-31,13.828,13.8618,13.7788,13.8126,13.8126,8615527,0.623316,13.7012,13.1704,,1.61555,2016,5,1,2
2016-06-01,13.7076,13.7657,13.6609,13.719,13.719,9569729,-0.677051,13.7105,13.1938,,1.62016,2016,6,2,2
2016-06-02,13.8255,13.9629,13.7057,13.8429,13.8429,7980421,0.902524,13.7315,13.2183,,1.615449,2016,6,3,2
2016-06-03,13.9264,14.0238,13.7818,13.8788,13.8788,13378773,0.259758,13.7496,13.24,,1.610698,2016,6,4,2
2016-06-06,14.127,14.2414,13.9816,14.0958,14.0958,16738912,1.563408,13.762,13.2647,,1.554596,2016,6,0,2
2016-06-07,13.9441,14.0252,13.8773,13.9584,13.9584,11706541,-0.974543,13.7671,13.2866,,1.573099,2016,6,1,2
2016-06-08,13.9639,14.0781,13.79,13.9037,13.9037,12110381,-0.391912,13.7526,13.3079,,1.470163,2016,6,2,2
2016-06-09,13.8299,13.8876,13.7793,13.837,13.837,7723188,-0.479729,13.7623,13.3329,,1.176336,2016,6,3,2
2016-06-10,13.5036,13.6451,13.4086,13.5498,13.5498,15772164,-2.076082,13.7483,13.3542,,1.22853,2016,6,4,2
2016-06-13,13.591,13.7886,13.4353,13.6324,13.6324,7324239,0.61012,13.7368,13.3782,,1.236655,2016,6,0,2
2016-06-14,13.6531,13.7987,13.5614,13.7067,13.7067,8879138,0.544991,13.7315,13.3988,,1.242442,2016,6,1,2
2016-06-15,13.7123,13.7684,13.6712,13.7273,13.7273,6987839,0.150005,13.7254,13.418,,1.24149,2016,6,2,2
2016-06-16,13.7658,13.8596,13.6048,13.6982,13.6982,6339198,-0.212156,13.7379,13.4426,,1.048614,2016,6,3,2
2016-06-17,13.3839,13.4607,13.3505,13.4272,13.4272,7426312,-1.978182,13.7378,13.4598,,1.146294,2016,6,4,2
2016-06-20,13.378,13.4037,13.3424,13.368,13.368,11529790,-0.440971,13.7301,13.4766,,1.138007,2016,6,0,2
2016-06-21,13.291,13.3725,13.2447,13.326,13.326,18668782,-0.31376,13.7042,13.4943,,0.984781,2016,6,1,2
2016-06-22,13.1796,13.3161,13.057,13.1934,13.1934,19401545,-0.995562,13.6763,13.5062,,0.995863,2016,6,2,2
2016-06-23,13.1122,13.2674,13.0371,13.1919,13.1919,3772545,-0.01125,13.6558,13.5135,,0.974262,2016,6,3,2
2016-06-24,13.2906,13.4242,13.169,13.3024,13.3024,20219700,0.837629,13.6449,13.5188,,0.99191,2016,6,4,2
2016-06-27,13.6967,13.7649,13.6392,13.7073,13.7073,10515083,3.044148,13.6439,13.535,,1.163465,2016,6,0,2
2016-06-28,13.7935,13.911,13.6466,13.7638,13.7638,12412846,0.411903,13.6415,13.5528,,1.158446,2016,6,1,2
2016-06-29,13.8488,13.8982,13.7871,13.8365,13.8365,5132657,0.52814,13.6474,13.5701,,1.153329,2016,6,2,2
2016-06-30,13.7728,14.0036,13.6092,13.8392,13.8392,8745317,0.019487,13.6472,13.5832,,1.135699,2016,6,3,2
2016-07-01,13.5174,13.5823,13.3944,13.459,13.459,15111937,-2.746822,13.6262,13.59,,1.288833,2016,7,4,3
2016-07-04,13.491,13.5726,13.3982,13.4797,13.4797,3383426,0.153593,13.5954,13.5974,,1.227541,2016,7,0,3
2016-07-05,13.5283,13.5911,13.4548,13.5176,13.5176,12169366,0.280955,13.5734,13.6094,,1.218782,2016,7,1,3
2016-07-06,14.0415,14.0757,14.0079,14.042,14.042,31340325,3.879944,13.5803,13.6359,,1.513459,2016,7,2,3
2016-07-07,13.9871,14.1728,13.8307,14.0161,14.0161,7470424,-0.184489,13.5892,13.658,,1.509348,2016,7,3,3
2016-07-08,14.107,14.1667,14.0352,14.0948,14.0948,20111515,0.560849,13.6165,13.6759,,1.424324,2016,7,4,3
2016-07-11,14.1281,14.2254,14.0042,14.1013,14.1013,7205669,0.04645,13.6399,13.6936,,1.4215,2016,7,0,3
2016-07-12,13.771,13.9915,13.6483,13.8679,13.8679,17801489,-1.654891,13.648,13.7022,,1.475746,2016,7,1,3
2016-07-13,14.0938,14.2827,13.9357,14.1243,14.1243,2880449,1.848259,13.6678,13.714,,1.52858,2016,7,2,3
2016-07-14,14.2825,14.3231,14.2566,14.2971,14.2971,42405057,1.22378,13.6978,13.7315,,1.544136,2016,7,3,3
2016-07-15,14.4917,14.5882,14.3806,14.4769,14.4769,24497869,1.257664,13.7503,13.7507,,1.468774,2016,7,4,3
2016-07-18,14.3544,14.4727,14.1685,14.2863,14.2863,8544167,-1.316986,13.7962,13.7594,,1.507329,2016,7,0,3
2016-07-19,14.5525,14.6759,14.4745,14.5976,14.5976,3495375,2.179182,13.8598,13.7743,,1.552519,2016,7,1,3
2016-07-20,14.2667,14.3542,14.2078,14.2952,14.2952,13532134,-2.071477,13.9148,13.7763,,1.622948,2016,7,2,3
2016-07-21,14.4021,14.543,14.2911,14.4317,14.4317,4000352,0.955129,13.9768,13.7921,,1.623997,2016,7,3,3
2016-07-22,14.8661,15.0614,14.7191,14.914,14.914,17203579,3.341466,14.0574,13.8138,,1.746329,2016,7,4,3
2016-07-25,14.6706,14.7572,14.6046,14.691,14.691,13348950,-1.494841,14.1066,13.8303,,1.704752,2016,7,0,3
2016-07-26,14.6143,14.7024,14.4817,14.5694,14.5694,5306702,-0.82771,14.1469,13.8454,,1.72521,2016,7,1,3
2016-07-27,14.5354,14.7624,14.3706,14.5969,14.5969,16264571,0.188652,14.1849,13.8604,,1.724506,2016,7,2,3
2016-07-28,14.5167,14.5798,14.4289,14.4919,14.4919,14851611,-0.719316,14.2175,13.8813,,1.738281,2016,7,3,3
2016-07-29,14.0658,14.2105,14.0179,14.1622,14.1622,21055533,-2.27478,14.2527,13.896,,1.698265,2016,7,4,3
2016-08-01,14.1592,14.2399,14.1105,14.1911,14.1911,8369377,0.203548,14.2883,13.9093,,1.698123,2016,8,0,3
2016-08-02,13.9603,14.1082,13.831,13.9787,13.9787,4461284,-1.49644,14.3113,13.912,,1.743482,2016,8,1,3
2016-08-03,14.1906,14.2743,14.013,14.0961,14.0961,16780768,0.839849,14.314,13.9189,,1.52267,2016,8,2,3
2016-08-04,13.9022,13.9703,13.8495,13.9175,13.9175,8547521,-1.266828,14.3091,13.9252,,1.549695,2016,8,3,3
2016-08-05,14.135,14.318,14.0782,14.2606,14.2606,5146787,2.464903,14.3174,13.94,,1.643177,2016,8,4,3
2016-08-08,13.9931,14.1343,13.965,14.1059,14.1059,21953921,-1.084629,14.3176,13.9476,,1.663416,2016,8,0,3
2016-08-09,14.0557,14.1187,13.9909,14.0538,14.0538,30283646,-0.369339,14.3269,13.9524,,1.619769,2016,8,1,3
2016-08-10,14.2775,14.4765,14.0439,14.2425,14.2425,9872094,1.34245,14.3328,13.9629,,1.594441,2016,8,2,3
2016-08-11,14.014,14.0592,13.9479,13.993,13.993,39641602,-1.751657,14.3176,13.9659,,1.618158,2016,8,3,3
2016-08-12,14.0687,14.1103,14.0177,14.0593,14.0593,9247473,0.473762,14.2967,13.9695,,1.592965,2016,8,4,3
2016-08-15,14.4192,14.5248,14.2473,14.3524,14.3524,8968147,2.084984,14.3,13.9747,,1.640936,2016,8,0,3
2016-08-16,13.9878,14.0693,13.9367,14.0181,14.0181,8094830,-2.329768,14.2711,13.9759,,1.640706,2016,8,1,3
2016-08-17,14.1257,14.165,14.0362,14.0753,14.0753,23102569,0.408644,14.2601,13.9793,,1.583722,2016,8,2,3
2016-08-18,14.0553,14.2923,13.9115,14.1476,14.1476,5521378,0.513425,14.2459,13.9855,,1.571773,2016,8,3,3
2016-08-19,14.2777,14.4635,14.1442,14.3296,14.3296,15594213,1.286069,14.2166,14.0011,,1.392761,2016,8,4,3
2016-08-22,13.9746,14.1331,13.9182,14.0763,14.0763,7777851,-1.767204,14.1859,14.01,,1.40744,2016,8,0,3
2016-08-23,13.8001,13.8502,13.7653,13.8153,13.8153,8362820,-1.854312,14.1482,14.0121,,1.449474,2016,8,1,3
2016-08-24,13.944,13.9766,13.9139,13.9466,13.9466,17637898,0.950054,14.1157,14.0165,,1.471582,2016,8,2,3
2016-08-25,14.0356,14.0913,13.9736,14.0292,14.0292,7119510,0.592813,14.0926,14.0232,,1.477262,2016,8,3,3
2016-08-26,14.1044,14.143,14.0623,14.1009,14.1009,6912988,0.511007,14.0895,14.0366,,1.395624,2016,8,4,3
2016-08-29,14.1393,14.2692,14.0624,14.192,14.192,17811953,0.645832,14.0895,14.0531,,1.402713,2016,8,0,3
2016-08-30,14.0526,14.1649,13.951,14.0633,14.0633,24679535,-0.906941,14.0938,14.0678,,1.375325,2016,8,1,3
2016-08-31,14.0463,14.1987,13.9791,14.131,14.131,12906838,0.481401,14.0955,14.0866,,1.36665,2016,8,2,3
2016-09-01,14.288,14.3569,14.142,14.2105,14.2105,6005710,0.562991,14.1102,14.107,,1.336805,2016,9,3,3
2016-09-02,14.0571,14.1539,13.9775,14.0742,14.0742,7029922,-0.959454,14.1008,14.1224,,1.235109,2016,9,4,3
2016-09-05,14.4587,14.5753,14.3705,14.487,14.487,13175867,2.932948,14.1199,14.138,,1.377892,2016,9,0,3
2016-09-06,14.6935,14.7645,14.5301,14.6007,14.6007,11209218,0.784789,14.1472,14.1547,,1.379499,2016,9,1,3
2016-09-07,14.277,14.3916,14.234,14.3483,14.3483,5978351,-1.728503,14.1525,14.165,,1.416079,2016,9,2,3
2016-09-08,14.438,14.5865,14.3551,14.5033,14.5033,14983375,1.080062,14.178,14.1783,,1.367557,2016,9,3,3
2016-09-09,14.2392,14.3299,14.2112,14.3019,14.3019,10792858,-1.388612,14.1902,14.1951,,1.409836,2016,9,4,3
2016-09-12,14.4817,14.5433,14.424,14.4857,14.4857,3582785,1.284958,14.1968,14.2152,,1.360903,2016,9,0,3
2016-09-13,14.7742,14.8374,14.6856,14.7487,14.7487,6216273,1.816095,14.2334,14.2399,,1.292569,2016,9,1,3
2016-09-14,14.6164,14.6565,14.5333,14.5733,14.5733,7335047,-1.189333,14.2583,14.2505,,1.331839,2016,9,2,3
2016-09-15,14.9458,14.9875,14.7524,14.7936,14.7936,9938888,1.511893,14.2906,14.266,,1.363243,2016,9,3,3
2016-09-16,14.7567,14.9708,14.6772,14.8907,14.8907,28092203,0.655773,14.3186,14.282,,1.344762,2016,9,4,3
2016-09-19,15.1147,15.1547,15.0381,15.078,15.078,11522238,1.25808,14.3687,14.3015,,1.280345,2016,9,0,3
2016-09-20,15.4725,15.6502,15.3296,15.507,15.507,7503749,2.845565,14.4533,14.3343,,1.285369,2016,9,1,3
2016-09-21,15.4053,15.5057,15.3413,15.4415,15.4415,9907321,-0.422524,14.528,14.3606,,1.301509,2016,9,2,3
2016-09-22,15.2221,15.3082,15.1739,15.2599,15.2599,8018311,-1.176259,14.5896,14.3799,,1.355197,2016,9,3,3
2016-09-23,14.9982,15.0986,14.9528,15.053,15.053,12393924,-1.356126,14.6372,14.3914,,1.412425,2016,9,4,3
2016-09-26,14.97,15.0143,14.8258,14.8698,14.8698,14125717,-1.216736,14.6711,14.4031,,1.45182,2016,9,0,3
2016-09-27,14.9075,14.9387,14.8262,14.8574,14.8574,16802641,-0.0834,14.7108,14.4083,,1.428972,2016,9,1,3
2016-09-28,14.9399,15.0012,14.8773,14.9386,14.9386,8740915,0.54623,14.7512,14.4211,,1.429515,2016,9,2,3
2016-09-29,15.0852,15.1757,14.9141,15.0041,15.0041,23257525,0.439035,14.7908,14.4326,,1.428528,2016,9,3,3
2016-09-30,15.1007,15.2674,15.0265,15.1927,15.1927,17217717,1.256475,14.8468,14.4381,,1.413046,2016,9,4,3
2016-10-03,15.1136,15.3096,14.9991,15.1945,15.1945,5245325,0.011813,14.8821,14.4482,,1.281483,2016,10,0,4
2016-10-04,15.3894,15.6302,15.2847,15.5246,15.5246,42938380,2.172917,14.9283,14.4673,,1.348037,2016,10,1,4
2016-10-05,15.4121,15.5193,15.3483,15.4553,15.4553,10606729,-0.446217,14.9837,14.4845,,1.274155,2016,10,2,4
2016-10-06,16.0902,16.1463,16.0237,16.0798,16.0798,8611623,4.040298,15.0625,14.5162,,1.50989,2016,10,3,4
2016-10-07,16.2188,16.3079,16.123,16.2121,16.2121,25088321,0.82294,15.158,14.5572,,1.441576,2016,10,4,4
2016-10-10,15.9922,16.1205,15.8545,15.9827,15.9827,35819605,-1.415158,15.2329,14.5931,,1.502982,2016,10,0,4
2016-10-11,15.621,15.7723,15.5587,15.7096,15.7096,10569415,-1.708394,15.2809,14.6277,,1.546968,2016,10,1,4
2016-10-12,15.8634,15.9057,15.7703,15.8126,15.8126,6683408,0.655164,15.3429,14.662,,1.506235,2016,10,2,4
2016-10-13,15.7619,15.8353,15.6735,15.7468,15.7468,7816352,-0.415791,15.3905,14.6986,,1.494287,2016,10,3,4
2016-10-14,15.9508,16.0221,15.8329,15.9041,15.9041,14713670,0.99894,15.4412,14.7315,,1.500265,2016,10,4,4
2016-10-17,15.8816,16.0633,15.8215,16.0028,16.0028,19344692,0.620278,15.4874,14.7694,,1.486446,2016,10,0,4
2016-10-18,15.989,16.0889,15.8694,15.9691,15.9691,11739709,-0.210085,15.5106,14.8077,,1.363934,2016,10,1,4
2016-10-19,15.6761,15.7817,15.6455,15.7509,15.7509,10859711,-1.36652,15.526,14.8379,,1.400831,2016,10,2,4
2016-10-20,15.3576,15.4724,15.2675,15.3821,15.3821,29078546,-2.341704,15.5321,14.8657,,1.479138,2016,10,3,4
2016-10-21,15.3082,15.3779,15.2061,15.2756,15.2756,7555513,-0.692379,15.5433,14.89,,1.453141,2016,10,4,4
2016-10-24,15.4763,15.6369,15.3102,15.4707,15.4707,18595879,1.277393,15.5733,14.9124,,1.442678,2016,10,0,4
2016-10-25,15.4626,15.5702,15.4081,15.5155,15.5155,7118520,0.289332,15.6062,14.9423,,1.441121,2016,10,1,4
2016-10-26,15.2202,15.2696,15.1704,15.2198,15.2198,14386513,-1.905566,15.6203,14.9652,,1.514904,2016,10,2,4
2016-10-27,15.1661,15.3005,15.1254,15.2596,15.2596,7862858,0.261488,15.633,14.9874,,1.513358,2016,10,3,4
2016-10-28,15.418,15.645,15.1213,15.3474,15.3474,8620960,0.57501,15.6408,15.0078,,1.493377,2016,10,4,4
2016-10-31,15.1295,15.1946,15.0769,15.1419,15.1419,8109893,-1.338563,15.6382,15.0291,,1.525899,2016,10,0,4
2016-11-01,15.247,15.3479,15.0786,15.1791,15.1791,18805264,0.245315,15.6209,15.0564,,1.439434,2016,11,1,4
2016-11-02,15.1619,15.2282,15.1277,15.1939,15.1939,5254102,0.097652,15.6078,15.0813,,1.437739,2016,11,2,4
2016-11-03,14.9035,15.089,14.7496,14.9348,14.9348,6911601,-1.705537,15.5506,15.0994,14.0137,1.108367,2016,11,3,4
2016-11-04,14.9756,15.0544,14.9429,15.0215,15.0215,31860514,0.581007,15.491,15.1179,14.0182,1.095996,2016,11,4,4
2016-11-07,15.2061,15.2943,15.0651,15.153,15.153,16880879,0.875335,15.4495,15.1371,14.0236,1.101234,2016,11,0,4
2016-11-08,15.3581,15.4972,15.2629,15.4018,15.4018,2530183,1.641626,15.4342,15.1638,14.0295,1.123935,2016,11,1,4
2016-11-09,15.6833,15.7529,15.5735,15.6429,15.6429,7456049,1.565709,15.4257,15.1941,14.0351,1.173193,2016,11,2,4
2016-11-10,15.2892,15.3488,15.2531,15.3126,15.3126,3860968,-2.111573,15.404,15.2161,14.0392,1.259339,2016,11,3,4
2016-11-11,14.9775,15.1701,14.9049,15.0968,15.0968,5815025,-1.4091,15.3636,15.2366,14.0426,1.26062,2016,11,4,4
2016-11-14,15.183,15.3721,15.0289,15.2177,15.2177,1410184,0.800375,15.3243,15.2512,14.0449,1.267805,2016,11,0,4
2016-11-15,15.2645,15.3881,15.2135,15.3368,15.3368,8513640,0.78294,15.2927,15.2659,14.047,1.288461,2016,11,1,4
2016-11-16,15.457,15.6207,15.2911,15.4549,15.4549,4648038,0.769736,15.2779,15.288,14.0503,1.274607,2016,11,2,4
2016-11-17,16.2675,16.4386,16.1746,16.3453,16.3453,17328032,5.761538,15.3261,15.3249,14.0575,1.727603,2016,11,3,4
2016-11-18,16.5258,16.5938,16.3971,16.4648,16.4648,3455417,0.731283,15.3855,15.3681,14.0659,1.713046,2016,11,4,4
2016-11-21,16.7166,16.7824,16.6569,16.7227,16.7227,11001132,1.566181,15.4481,15.4129,14.0761,1.722119,2016,11,0,4
2016-11-22,16.9223,16.9968,16.8599,16.9343,16.9343,7795922,1.265601,15.5191,15.4566,14.0872,1.732511,2016,11,1,4
2016-11-23,17.1128,17.3019,16.8793,17.068,17.068,22785143,0.789243,15.6115,15.5065,14.1012,1.641886,2016,11,2,4
2016-11-24,17.0182,17.0717,16.8997,16.9529,16.9529,21191482,-0.674457,15.6962,15.5497,14.1164,1.664838,2016,11,3,4
